frequency_hz,ad5245_value,ad5245_readback,sample,timestamp_s,code_a,voltage_a_v,ac_a_v,code_b,voltage_b_v,ac_b_v,raw_hex
96000,1,1,58,4.769498,431,0.526252,-1.973748,181,0.221001,-2.278999,03 5E 01 6A
96000,1,1,59,4.769499,431,0.526252,-1.973748,183,0.223443,-2.276557,03 5E 01 6E
96000,1,1,60,4.769500,431,0.526252,-1.973748,182,0.222222,-2.277778,03 5E 01 6C
96000,1,1,61,4.769501,432,0.527473,-1.972527,182,0.222222,-2.277778,03 60 01 6C
96000,1,1,62,4.769502,430,0.525031,-1.974969,181,0.221001,-2.278999,03 5C 01 6A
96000,1,1,63,4.769503,429,0.523810,-1.976190,180,0.219780,-2.280220,03 5A 01 68
96000,1,1,64,4.769504,431,0.526252,-1.973748,182,0.222222,-2.277778,03 5E 01 6C
96000,1,1,65,4.769505,432,0.527473,-1.972527,183,0.223443,-2.276557,03 60 01 6E
96000,1,1,66,4.769508,431,0.526252,-1.973748,182,0.222222,-2.277778,03 5E 01 6C
96000,1,1,67,4.769509,430,0.525031,-1.974969,181,0.221001,-2.278999,03 5C 01 6A
96000,1,1,68,4.769510,431,0.526252,-1.973748,180,0.219780,-2.280220,03 5E 01 68
96000,1,1,69,4.769512,431,0.526252,-1.973748,182,0.222222,-2.277778,03 5E 01 6C
96000,1,1,70,4.769513,431,0.526252,-1.973748,183,0.223443,-2.276557,03 5E 01 6E
96000,1,1,71,4.769514,432,0.527473,-1.972527,182,0.222222,-2.277778,03 60 01 6C
96000,1,1,72,4.769515,432,0.527473,-1.972527,182,0.222222,-2.277778,03 60 01 6C
96000,1,1,73,4.769516,430,0.525031,-1.974969,181,0.221001,-2.278999,03 5C 01 6A
96000,1,1,74,4.769517,430,0.525031,-1.974969,180,0.219780,-2.280220,03 5C 01 68
96000,1,1,75,4.769518,433,0.528694,-1.971306,183,0.223443,-2.276557,03 62 01 6E
96000,1,1,76,4.769520,432,0.527473,-1.972527,183,0.223443,-2.276557,03 60 01 6E
96000,1,1,77,4.769521,431,0.526252,-1.973748,182,0.222222,-2.277778,03 5E 01 6C
